Name,Type,District,Lat_WGS84,Lon_WGS84,Easting_HK1980,Northing_HK1980
Chai Wan Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,EASTERN,22.26395245,114.2365058,842414.2134999996,813905.2894000001
Tseung Kwan O Families Clinic,Clinics / Health Centres under the Department of Health,SAI KUNG,22.30467382,114.2563796,844460.2325999998,818415.4838999994
Fanling Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,NORTH,22.49654684,114.1387885,832349.0,839661.0
Tseung Kwan O Government Offices Dental Clinic,Clinics / Health Centres under the Department of Health,SAI KUNG,22.30463427,114.2563453,844456.7045999998,818411.1032999996
Kowloon City Lions Clubs Student Health Service Centre,Clinics / Health Centres under the Department of Health,KOWLOON CITY,22.33019119,114.1890369,837521.0,821239.0
South Kwai Chung Student Health Service Centre,Clinics / Health Centres under the Department of Health,KWAI CHUNG,22.36080613,114.1253981,830966.0,824630.0
Sha Tin Student Health Service Centre,Clinics / Health Centres under the Department of Health,SHA TIN,22.37752063,114.1841083,837013.0,826480.0
West Kowloon Government Offices Student Health Service Centre cum Special Assessment Centre,Clinics / Health Centres under the Department of Health,YAU TSIM MONG,22.31241862,114.1636555,834907.1397000002,819275.1027000006
Shek Kip Mei Chest Clinic (all services suspended),Clinics / Health Centres under the Department of Health,SHAM SHUI PO,22.33101315,114.1672938,835281.0,821330.0
Education and Training Centre in Family Medicine,Clinics / Health Centres under the Department of Health,NGAU TAU KOK,22.31706524,114.2169593,840398.0,819786.0
Fanling Families Clinic,Clinics / Health Centres under the Department of Health,FANLING,22.49621128,114.1388504,832355.3682000004,839623.8720999993
Chai Wan Families Clinic,Clinics / Health Centres under the Department of Health,CHAI WAN,22.26932987,114.2363877,842401.8079000004,814500.7485000007
Hong Kong Families Clinic,Clinics / Health Centres under the Department of Health,WAN CHAI,22.27529393,114.1782017,836404.7969000004,815159.9639999997
Kowloon Families Clinic,Clinics / Health Centres under the Department of Health,HUNG HOM,22.31188455,114.1895984,837579.0236999998,819211.8571000006
New Territories Families Clinic,Clinics / Health Centres under the Department of Health,TSUEN WAN,22.37054633,114.1197608,830385.7714,825708.8268999998
Hong Kong Integrated Care Centre for Civil Service,Clinics / Health Centres under the Department of Health,CENTRAL,22.28450894,114.1526204,833768.5103000002,816180.5791999996
North District Maternal and Child Health Centre,Clinics / Health Centres under the Department of Health,NORTH,22.49837756,114.1276136,831199.1805999996,839864.0963000003
North District Elderly Health Centre,Clinics / Health Centres under the Department of Health,NORTH,22.49833441,114.1275962,831197.3891000003,839859.3190000001
Ap Lei Chau Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,SOUTHERN,22.24324308,114.153612,833870.0,811611.0
Wu York Yu Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,WONG TAI SIN,22.34691495,114.1974939,838392.0,823091.0
Sai Ying Pun Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,CENTRAL AND WESTERN,22.28643525,114.1450365,832987.0,816394.0
North Kwai Chung Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,KWAI TSING,22.36985878,114.1403183,832503.0,825632.0
Mui Wo Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,ISLANDS,22.26611127,113.997974,817829.0,814154.0
East Kowloon Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,WONG TAI SIN,22.33951725,114.2079476,839469.0,822272.0
Robert Black Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,WONG TAI SIN,22.33249336,114.1956281,838200.0,821494.0
Yaumatei Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,YAU TSIM MONG,22.30916042,114.1665858,835207.9012000002,818910.1819000002
Tsing Yi Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,KWAI TSING,22.34891428,114.1059379,828961.0,823314.0
Anne Black Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,EASTERN,22.29136664,114.2049966,839166.0,816940.0
Cheung Chau Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,ISLANDS,22.2082217,114.0311186,821239.0,807740.0
Wang Tau Hom Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,WONG TAI SIN,22.33911364,114.185378,837144.0,822227.0
South Kwai Chung Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,KWAI TSING,22.36080613,114.1253981,830966.0,824630.0
Kwai Chung Hospital Dental Clinic,Clinics / Health Centres under the Department of Health,KWAI CHUNG,22.3419526,114.1342583,831878.0,822542.0
North District Student Health Service Centre,Clinics / Health Centres under the Department of Health,NORTH,22.49847461,114.1275526,831192.9104000004,839874.8453000002
Yuen Long Student Health Service Centre,Clinics / Health Centres under the Department of Health,YUEN LONG,22.44560048,114.0231681,820446.0,834027.0
Lady Trench Methadone Clinic,Clinics / Health Centres under the Department of Health,TSUEN WAN,22.37055568,114.1155394,829951.0,825710.0
Yuen Long Government Offices Dental Clinic,Clinics / Health Centres under the Department of Health,YUEN LONG,22.44526695,114.0272183,820862.8759000003,833989.6448999997
Tuen Mun Wu Hong Elderly Health Centre,Clinics / Health Centres under the Department of Health,TUEN MUN,22.37715012,113.9671297,814658.2999999998,826464.4000000004
Yuen Chau Kok Chest Clinic,Clinics / Health Centres under the Department of Health,SHA TIN,22.38247667,114.2015095,838805.0,827029.0
Pamela Youde Child Assessment Centre (Shatin),Clinics / Health Centres under the Department of Health,SHA TIN,22.3817632,114.2018784,838843.0,826950.0
Pamela Youde School Dental Clinic,Clinics / Health Centres under the Department of Health,SHA TIN,22.3817632,114.2018784,838847.2999999998,826967.3000000007
Cheung Chau Methadone Clinic,Clinics / Health Centres under the Department of Health,ISLANDS,22.20822141,114.0311186,821239.0,807740.0
Yau Ma Tei Methadone Clinic,Clinics / Health Centres under the Department of Health,YAU TSIM MONG,22.30967269,114.1692804,835485.5404000003,818966.8915999997
Cheung Chau Dental Clinic,Clinics / Health Centres under the Department of Health,CHEUNG CHAU,22.2082217,114.0311186,821243.0999999996,807736.3000000007
Cheung Chau Chest Clinic,Clinics / Health Centres under the Department of Health,ISLANDS,22.2082217,114.0311186,821239.0,807740.0
Ngau Tau Kok Child Assessment Centre,Clinics / Health Centres under the Department of Health,NGAU TAU KOK,22.31705197,114.2169533,840397.3778999997,819784.5629999992
Pamela Youde Child Assessment Centre (Kwun Tong),Clinics / Health Centres under the Department of Health,KWUN TONG,22.30773324,114.2288649,841625.0,818753.0
Fanling Child Assessment Centre,Clinics / Health Centres under the Department of Health,NORTH,22.49654684,114.1387885,832349.0,839661.0
Ha Kwai Chung Child Assessment Centre,Clinics / Health Centres under the Department of Health,KWAI TSING,22.35242659,114.1280127,831235.0,823702.0
Central Kowloon Child Asessment Centre,Clinics / Health Centres under the Department of Health,KOWLOON CITY,22.32543238,114.1839212,836994.0,820712.0
Tuen Mun Child Assessment Centre,Clinics / Health Centres under the Department of Health,TUEN MUN,22.40827229,113.9767563,815663.0,829899.0
Yuen Long Chest Clinic,Clinics / Health Centres under the Department of Health,YUEN LONG,22.44560077,114.0231681,820446.0,834027.0
West Kowloon Government Offices Dental Clinic,Clinics / Health Centres under the Department of Health,TAI KWOK TSUI,22.31241862,114.1636555,834903.5482000001,819271.7654999997
Yuen Long Jockey Club Dental Clinic,Clinics / Health Centres under the Department of Health,YUEN LONG,22.44560077,114.0231681,820440.7999999998,834028.4000000004
Yuen Long Methadone Clinic,Clinics / Health Centres under the Department of Health,YUEN LONG,22.44560077,114.0231681,820446.0,834027.0
Yau Ma Tei Dermatological Clinic,Clinics / Health Centres under the Department of Health,YAU TSIM MONG,22.30961949,114.1692654,835488.3918000003,818973.7468999997
Tang Shiu Kin Dental Clinic,Clinics / Health Centres under the Department of Health,NORTH POINT,22.29137074,114.2048611,839152.0294000003,816940.4837999996
Western Dental Clinic,Clinics / Health Centres under the Department of Health,SAI YING PUN,22.28527785,114.1394863,832415.0,816266.0
Pamela Youde Government Dental Clinic,Clinics / Health Centres under the Department of Health,SHA TIN,22.38193446,114.2020435,838860.0,826969.0
MacLehose Dental Centre 2/F,Clinics / Health Centres under the Department of Health,WAN CHAI,22.27523104,114.1784947,836435.0,815153.0
MacLehose Dental Centre 6/F,Clinics / Health Centres under the Department of Health,WAN CHAI,22.27521298,114.1785141,836437.0,815151.0
Queensway Government Offices Dental Clinic,Clinics / Health Centres under the Department of Health,ADMIRALTY,22.27802102,114.1641633,834958.0,815462.0
Victoria Road Dental Clinic,Clinics / Health Centres under the Department of Health,KENNEDY TOWN,22.28182383,114.1239522,830814.0,815884.0
Sai Ying Pun Dental Clinic 8/F,Clinics / Health Centres under the Department of Health,SAI YING PUN,22.28633036,114.1451292,832996.5421000002,816382.4157999996
Sai Ying Pun Dental Clinic 3/F,Clinics / Health Centres under the Department of Health,SAI YING PUN,22.28633034,114.1451241,832996.0225,816382.4140000008
Tseung Kwan O Dental Clinic,Clinics / Health Centres under the Department of Health,TSEUNG KWAN O,22.31781544,114.2679086,845647.3136,819871.3883999996
Hong Kong Police College Dental Clinic,Clinics / Health Centres under the Department of Health,WONG CHUK HANG,22.24727063,114.1716568,835730.1645999998,812056.8429000005
Harbour Building Dental Clinic,Clinics / Health Centres under the Department of Health,CENTRAL,22.28656915,114.1549796,834011.6750999996,816408.6776
Yau Ma Tei Orthodontic Clinic,Clinics / Health Centres under the Department of Health,YAU MA TEI,22.309567,114.1692131,835478.6127000004,818955.1882000007
Harbour Building Orthodontic Clinic,Clinics / Health Centres under the Department of Health,CENTRAL,22.28658533,114.1550275,834016.6017000005,816410.4691000003
Ma On Shan Dental Clinic,Clinics / Health Centres under the Department of Health,MA ON SHAN,22.42508276,114.2349016,842242.0,831748.0
Ha Kwai Chung Government Dental Clinic,Clinics / Health Centres under the Department of Health,KWAI CHUNG,22.35240466,114.1280481,831238.6476999996,823699.6038000006
Wan Chai Dental Clinic,Clinics / Health Centres under the Department of Health,WAN CHAI,22.27371018,114.17486,836060.3964,814984.5899999999
Madam Yung Fung Shee Dental Clinic,Clinics / Health Centres under the Department of Health,YUEN LONG,22.44102824,114.027085,820848.6873000003,833520.2783000004
Tung Chung Dental Clinic,Clinics / Health Centres under the Department of Health,TUNG CHUNG,22.28856361,113.9431288,812180.0,816648.0
Tsuen Wan Government Offices Dental Clinic,Clinics / Health Centres under the Department of Health,TSUEN WAN,22.37471498,114.1149704,829892.5866,826170.6385999992
Sheung Kwai Chung Prosthodontic Clinic,Clinics / Health Centres under the Department of Health,KWAI CHUNG,22.37619507,114.1367027,832130.8106000004,826333.7794000003
Sheung Kwai Chung Government Dental Clinic,Clinics / Health Centres under the Department of Health,KWAI CHUNG,22.37625696,114.1367069,832131.2426000005,826340.6319999993
Li Po Chun Dental Clinic,Clinics / Health Centres under the Department of Health,TAI KWOK TSUI,22.32274832,114.1660907,835156.9907999998,820414.8366
Yau Ma Tei Dental Clinic,Clinics / Health Centres under the Department of Health,YAU MA TEI,22.3095471,114.1692428,835481.6651999997,818952.9837999996
Kwun Tong Yung Fung Shee Dental Clinic,Clinics / Health Centres under the Department of Health,KWUN TONG,22.3079338,114.2288193,841620.2944999998,818775.2396000009
Cheung Sha Wan Government Offices Dental Clinic,Clinics / Health Centres under the Department of Health,SHAM SHUI PO,22.33167207,114.1602432,834554.6467000004,821403.0611000005
Castle Peak Hospital Dental Clinic,Clinics / Health Centres under the Department of Health,TUEN MUN,22.40952964,113.9714807,815120.0,830039.0
Chai Wan Government Dental Clinic,Clinics / Health Centres under the Department of Health,CHAI WAN,22.26955629,114.2363315,842396.0109000001,814525.8186000008
Aberdeen Jockey Club Dental Clinic,Clinics / Health Centres under the Department of Health,SOUTH,22.24995295,114.1563369,834162.7576000001,812335.7185999993
San Po Kong Elderly Health Centre,Clinics / Health Centres under the Department of Health,WONG TAI SIN,22.33249306,114.195628,838200.0181,821493.3718999997
Wong Siu Ching Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,TAI PO,22.45016181,114.1680823,835363.0,834524.0
