Name,Type,District,Lat_WGS84,Lon_WGS84,Easting_HK1980,Northing_HK1980
Day Care Unit at Cheung Muk Tau Holiday Centre for the Elderly,Day Care Centres for the Elderly,SHA TIN,22.43243519,114.25011076,843807.4086999996,832562.8651999999
Caritas Day Care Centre for the Elderly – West Kowloon (Sub-base),Day Care Centres for the Elderly,SHAM SHUI PO,22.33412857,114.1706813,835630.0,821675.0
Chung Shak Hei (Cheung Chau) Home for the Aged Limited Day Care Centre for the Elderly,Day Care Centres for the Elderly,ISLANDS,22.21252331,114.02700864,820815.6880000001,808216.7778999992
Anita Mui Day Care Centre for the Elderly,Day Care Centres for the Elderly,CENTRAL & WESTERN,22.28374256,114.14985332,833483.3339999998,816095.7634999994
Ageing Well Day Care Centre for the Elderly,Day Care Centres for the Elderly,CENTRAL & WESTERN,22.28531478,114.13247921,831692.8861999996,816270.2847000007
Central and Western District Day Care Centre for the Elderly,Day Care Centres for the Elderly,CENTRAL & WESTERN,22.28173848,114.12491706,830913.4375,815874.5141000003
Tai Po Integrated Service for Senior Citizens - Day Care Centre for Senior Citizens,Day Care Centres for the Elderly,TAI PO,22.46088728,114.17215657,835782.4165000003,835711.7145000007
Baptist Oi Kwan Social Service (BOKSS) Tai Po Day Care Centre for the Elderly,Day Care Centres for the Elderly,TAI PO,22.46143169,114.17258971,835827.0,835772.0
Caritas Li Ka Shing Care and Attention Home cum Day Care Centre for the Elderly,Day Care Centres for the Elderly,TUEN MUN,22.38508971,113.98246404,816247.3812999995,827331.1108999997
Haven of Hope Ho Chung Elderly Home cum Day Care Centre for the Elderly,Day Care Centres for the Elderly,SAI KUNG,22.3532881,114.25091429,843894.4466000004,823798.4942000005
Hong Kong Children and Youth Services Jubilant Day Care Centre for the Elderly,Day Care Centres for the Elderly,SHA TIN,22.41377273,114.22491665,841214.4312000005,830495.2084999997
St. James' Settlement EverShine Day Care Centre for the Elderly,Day Care Centres for the Elderly,SHAM SHUI PO,22.33015369,114.15446156,833959.0,821235.0
Yan Oi Tong Ng Wai Kwong Memorial Day Care Centre for the Elderly,Day Care Centres for the Elderly,TUEN MUN,22.41564087,113.96865231,814829.7133,830716.1366000008
Hong Kong Young Women's Christian Association Helen Lee Day Care Centre for the Elderly,Day Care Centres for the Elderly,NORTH,22.50291616,114.15540575,834059.0003000004,840366.0129000004
EverDelight Day Care Centre for the Elderly (Eastern & Wan Chai) (Sub-base),Day Care Centres for the Elderly,WAN CHAI,22.27237391,114.17342913,835912.9236000003,814836.6218999997
Wah Kwai Day Care Centre for the Elderly (Sub-base),Day Care Centres for the Elderly,SOUTHERN,22.2495793,114.13685997,832143.2972999997,812313.0263
Koo Bin Kau Lee Day Care Centre for the Elderly,Day Care Centres for the Elderly,KWUN TONG,22.32217771,114.21593426,840292.2388000004,820352.1327999998
Choy Yue-fai Day Care Centre for the Elderly,Day Care Centres for the Elderly,KWAI TSING,22.36181325,114.10039956,828391.2285000002,824742.6497000009
Chuk Yuen Day Care Centre for Senior Citizens,Day Care Centres for the Elderly,WONG TAI SIN,22.34409576,114.194144,838046.9665999999,822778.8057000004
Caritas Day Care Centre for the Elderly - North District,Day Care Centres for the Elderly,NORTH,22.50269258,114.12555962,830988.0,840342.0
Tin Ka Ping Day Care Centre for the Elderly,Day Care Centres for the Elderly,YAU TSIM MONG,22.3107934,114.16794541,835348.0,819091.0
Mongkok Integrated Service for Senior Citizens Hoi Yu Day Care Centre for Senior Citizens,Day Care Centres for the Elderly,YAU TSIM MONG,22.31676238,114.16425683,834968.0,819752.0
Lok Sin Tong Biu Chun Day Care Centre for the Elderly,Day Care Centres for the Elderly,WONG TAI SIN,22.34283359,114.20957546,839636.6113,822639.3036000002
Lam Woo Memorial Day Care Centre for the Elderly,Day Care Centres for the Elderly,SHAM SHUI PO,22.32833009,114.15912101,834439.0,821033.0
Eastern District Day Care Centre for the Elderly,Day Care Centres for the Elderly,EASTERN,22.29276962,114.2006753,838720.6629999997,817095.3136
Wah Kwai Day Care Centre for the Elderly,Day Care Centres for the Elderly,SOUTHERN,22.25093344,114.13912474,832376.7885999996,812462.9145999998
Chu Lee Yuet Wah Day Care Centre for the Elderly,Day Care Centres for the Elderly,SHAM SHUI PO,22.33606084,114.16556556,835103.0,821889.0
Yan Chun Day Care Centre for the Elderly,Day Care Centres for the Elderly,SHA TIN,22.39960445,114.18961771,837580.1858000001,828925.5353999995
EverWise Day Care Centre for the Elderly,Day Care Centres for the Elderly,TUEN MUN,22.4042479,113.9786126,815853.5514000002,829453.1341999993
Wong Wha San Wong Yee Jar Jat Day Care Centre For the Elderly,Day Care Centres for the Elderly,TUEN MUN,22.37604529,113.96769509,814725.0602000002,826331.6072000004
Tuen Mun District Day Care Centre for the Elderly,Day Care Centres for the Elderly,TUEN MUN,22.40752871,113.9632968,814277.0377000002,829818.5987
Mr and Mrs Lam Sum Wan Day Care Centre for the Elderly,Day Care Centres for the Elderly,TUEN MUN,22.41458679,113.97518175,815501.8217000002,830598.4953000005
Tai Tung Pui Day Care Centre for the Elderly,Day Care Centres for the Elderly,TUEN MUN,22.38521347,113.98001389,815995.0794000002,827345.1443000007
Kwai Shing West Day Care Centre for the Elderly,Day Care Centres for the Elderly,KWAI TSING,22.36075802,114.12149166,830563.6354999999,824624.8482000008
HKSKH On Yam Day Care Centre for the Elderly,Day Care Centres for the Elderly,KWAI TSING,22.36937364,114.14174304,832649.7306000004,825578.2752
Sun Kwai Hing Gardens Day Care Centre for the Elderly,Day Care Centres for the Elderly,KWAI TSING,22.36254962,114.13094222,831537.0942000002,824822.9141000006
