Name,Type,District,Lat_WGS84,Lon_WGS84,Easting_HK1980,Northing_HK1980
SURE ON ELDERS HOME COMPANY LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,SHAM SHUI PO,22.33313473,114.16288669,834826.2999999998,821564.4000000004
THE SISTERS OF THE IMMACULATE HEART OF MARY PAK TIN ELDERLY HOME (HONG TIN),Location of Residential Care Homes for the Elderly in Hong Kong,SHAM SHUI PO,22.33648526,114.16524519,835069.5,821935.4000000004
FRIENDS OF PEACE ELDERLY HOME LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,SHAM SHUI PO,22.32727414,114.16638162,835186.7999999998,820915.5
GO ALONG WITH YOUR HERAT ELDERLY HOME,Location of Residential Care Homes for the Elderly in Hong Kong,SHAM SHUI PO,22.33618678,114.15989659,834518.2999999998,821902.1999999993
KA LAM GEROCOMY LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,SHAM SHUI PO,22.33907581,114.15383887,833894.0999999996,822222.3000000007
WAN LUEN HOME FOR ELDERLY (YEN CHOW STREET),Location of Residential Care Homes for the Elderly in Hong Kong,SHAM SHUI PO,22.32866409,114.15793676,834316.2999999998,821069.5
ANGEL'S HEALTH CARE,Location of Residential Care Homes for the Elderly in Hong Kong,SHAM SHUI PO,22.32905231,114.15717959,834238.0,821112.6999999993
YAU YAT CHUEN HOME FOR THE ELDERLY LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,SHAM SHUI PO,22.33201553,114.17560276,836136.7000000002,821440.4000000004
MEDIPOINT (MOS) HOME FOR THE AGED,Location of Residential Care Homes for the Elderly in Hong Kong,SHA TIN,22.41687513,114.22780704,841511.9091999996,830838.8539000005
CHRYSANTHEMUM ELDERLY CENTRE LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,SHAM SHUI PO,22.33175318,114.16452728,834996.0,821412.0
CARE & SERVICES ELDERLY HOME (TAI KOK TSUI),Location of Residential Care Homes for the Elderly in Hong Kong,YAU TSIM MONG,22.32608173,114.16161585,834695.4000000004,820783.8000000007
GOODWISE GEROCOMY CENTRE,Location of Residential Care Homes for the Elderly in Hong Kong,SHAM SHUI PO,22.33481427,114.16131398,834664.5999999996,821750.5
MAN FOOK AGED HOME,Location of Residential Care Homes for the Elderly in Hong Kong,SHA TIN,22.37342062,114.17464114,836037.9000000004,826025.9000000004
