Name_EN,Address_EN,Latitude,Longitude,Facility_Type
Radio-diagnostic & Imaging Centre (Fanling),"5/F, Fanling Health Centre, 2 Pik Fung Road, Fanling, New Territories",22.49654684,114.13878847,ClinicsHealthCentresundertheDepartmentofHealth
Kowloon Bay Integrated Treatment Centre,"8/F, Kowloon Bay Health Centre, 
9 Kai Yan Street, Kowloon Bay, Hong Kong, China",22.32862653,114.20710074,ClinicsHealthCentresundertheDepartmentofHealth
Lek Yuen Elderly Health Centre,"3/F, Lek Yuen Health Centre 9 Lek Yuen Street Shatin, N.T.",22.38377826,114.19181873,ClinicsHealthCentresundertheDepartmentofHealth
Wan Chai Elderly Health Centre,"2/F, Southorn Centre, 130 Hennessy Road, Wan Chai, Hong Kong",22.27738058,114.17266322,ClinicsHealthCentresundertheDepartmentofHealth
Shau Kei Wan Elderly Health Centre,"G/F, Shau Kei Wan Jockey Club Clinic, 8 Chai Wan Road, Shau Kei Wan, Hong Kong",22.27648746,114.22833908,ClinicsHealthCentresundertheDepartmentofHealth
Tseung Kwan O Elderly Health Centre,"G/F, Tseung Kwan O Jockey Club Clinic, 99 Po Lam Road North, Tseung Kwan O, N.T.",22.32526691,114.25960177,ClinicsHealthCentresundertheDepartmentofHealth
Yau Ma Tei Elderly Health Centre,"1/F, Yau Ma Tei Jockey Club Polyclinic, 145 Battery Street, Yau Ma Tei, Kowloon",22.30961978,114.16926541,ClinicsHealthCentresundertheDepartmentofHealth
Sham Shui Po Methadone Clinic,"137 Yee Kuk Street, Sham Shui Po",22.3266961,114.16166432,ClinicsHealthCentresundertheDepartmentofHealth
Wanchai Chest Clinic,"Wanchai Polyclinic, 99 Kennedy Road, Wan Chai, Hong Kong",22.27367806,114.17488527,ClinicsHealthCentresundertheDepartmentofHealth
Shaukiwan Chest Clinic,"Shaukiwan Jockey Club Polyclinic, 8 Chai Wan Road, Hong Kong",22.27648746,114.22833908,ClinicsHealthCentresundertheDepartmentofHealth
East Kowloon Chest Clinic,"East Kowloon Polyclinic, 160 Hammer Hill Road, Kowloon",22.33976112,114.207705,ClinicsHealthCentresundertheDepartmentofHealth
Tin Shui Wai Maternal & Child Health Centre,"1/F, Tin Shui Wai Health Centre, 3 Tin Shui Road, Tin Shui Wai.",22.45454584,114.00144453,ClinicsHealthCentresundertheDepartmentofHealth
Tsuen Wan Elderly Health Centre,"G/F, Lady Trench Polyclinic, 213 Sha Tsui Road, Tsuen Wan, NT",22.37055568,114.1155394,ClinicsHealthCentresundertheDepartmentofHealth
Kowloon City Elderly Health Centre,"G/F, Lions Clubs Health Centre, 80 Hau Wong Road, Kowloon City, Kowloon",22.33019119,114.18903688,ClinicsHealthCentresundertheDepartmentofHealth
Aberdeen Elderly Health Centre,"G/F, Block B, Aberdeen Jockey Club Clinic, 10 Aberdeen Reservoir Road, Aberdeen, Hong Kong",22.24995324,114.15633695,ClinicsHealthCentresundertheDepartmentofHealth
Yuen Long Elderly Health Centre,"G/F, Madam Yung Fung Shee Health Centre 26 Sai Ching Street, Yuen Long, NT",22.44101701,114.02709778,ClinicsHealthCentresundertheDepartmentofHealth
Nam Shan Elderly Health Centre,"G/F, Nam Yiu House, Nam Shan Estate, Shek Kip Mei, Kowloon",22.33412887,114.17068131,ClinicsHealthCentresundertheDepartmentofHealth
Lam Tin Elderly Health Centre,"G/F, Lam Tin Community Complex,223 Pik Wan Road,Lam Tin, Kowloon",22.30838872,114.23949235,ClinicsHealthCentresundertheDepartmentofHealth
Kwai Shing Elderly Health Centre,"1/F,Shing Wo House, Kwai Shing East Estate, Kwai Yip Street, Kwai Chung, NT",22.36541216,114.12685281,ClinicsHealthCentresundertheDepartmentofHealth
Tang Shiu Kin School Dental Clinic 5/F,"5/F, MacLehose Dental Centre
286 Queen’s Road East, Wanchai, HK",22.27506878,114.17845592,ClinicsHealthCentresundertheDepartmentofHealth
Tang Shiu Kin School Dental Clinic 1/F,"1/F, MacLehose Dental Centre
286 Queen’s Road East, Wanchai, HK",22.27506878,114.17845592,ClinicsHealthCentresundertheDepartmentofHealth
Tang Shiu Kin School Dental Clinic 2/F,"2/F, MacLehose Dental Centre
286 Queen’s Road East, Wanchai, HK",22.27506878,114.17845592,ClinicsHealthCentresundertheDepartmentofHealth
Kowloon Chest Clinic,"147A, Argyle Street, Kowloon",22.32193769,114.17834969,ClinicsHealthCentresundertheDepartmentofHealth
Tai Po Chest Clinic,"1/F,Tai Po Jockey Club Clinic, 37 Ting Kok Road, Tai Po, New Territories",22.45401767,114.1657698,ClinicsHealthCentresundertheDepartmentofHealth
Pneumoconiosis Clinic,"4/F, Shaukeiwan Jockey Club Polyclinic, 8 Chai Wan Road, Hong Kong",22.27648746,114.22833908,ClinicsHealthCentresundertheDepartmentofHealth
Yaumati Chest Clinic,"Yaumati Jockey Club Polyclinic, 145 Battery Street, Kowloon",22.30961978,114.16926541,ClinicsHealthCentresundertheDepartmentofHealth
Radio-diagnostic & Imaging Centre (Kowloon Bay),"10/F, Kowloon Bay Health Centre & Alice Ho Miu Ling Nethersole Nursing Home, 9 Kai Yan Street, Kowloon Bay, Kowloon",22.32862653,114.20710074,ClinicsHealthCentresundertheDepartmentofHealth
South Kwai Chung Chest Clinic,"310 Kwai Shing Circuit, South Kwai Chung, New Territories",22.36103196,114.12562135,ClinicsHealthCentresundertheDepartmentofHealth
Tung Chung Chest Clinic,"1/F, Tung Chung Health Centre, 6 Fu Tung Street, Tung Chung, New Territories",22.28885346,113.94352614,ClinicsHealthCentresundertheDepartmentofHealth
Yan Oi Chest Clinic,"6 Tuen Lee Street, Tuen Mun, New Territories",22.3912257,113.97914039,ClinicsHealthCentresundertheDepartmentofHealth
Sheung Shui Chest Clinic,"Shek Wu Hui Jockey Club Clinic, Jockey Club Road, Sheung Shui, New Territories",22.50530378,114.12924213,ClinicsHealthCentresundertheDepartmentofHealth
Tseung Kwan O Families Clinic,"2/F, Tseung Kwan O Government Offices, North Tower, 30 Tong Yin Street, Tseung Kwan O, Sai Kung",22.30467382,114.25637955,ClinicsHealthCentresundertheDepartmentofHealth
Fanling Maternal & Child Health Centre,"3/F, Fanling Health Centre, 2 Pik Fung Road, Fanling",22.49654684,114.13878847,ClinicsHealthCentresundertheDepartmentofHealth
Tseung Kwan O Government Offices Dental Clinic,"3/F, Tseung Kwan O Government Offices, North Tower, 30 Tong Yin Street, Tseung Kwan O, Sai Kung, N.T.",22.30463427,114.25634529,ClinicsHealthCentresundertheDepartmentofHealth
Kowloon City Lions Clubs Student Health Service Centre,"1/F Lions Clubs Health Centre, 80 Hau Wong Road, Kowloon City",22.33019119,114.18903688,ClinicsHealthCentresundertheDepartmentofHealth
South Kwai Chung Student Health Service Centre,"2/F South Kwai Chung Polyclinic, 310 Kwai Shing Circuit, Kwai Chung, Tsuen Wan",22.36080613,114.12539813,ClinicsHealthCentresundertheDepartmentofHealth
Sha Tin Student Health Service Centre,"1/F Sha Tin (Tai Wai) Clinic, 2 Man Lai Road, Tai Wai, Sha Tin",22.37752063,114.18410832,ClinicsHealthCentresundertheDepartmentofHealth
West Kowloon Government Offices Student Health Service Centre cum Special Assessment Centre,"2/F, South Tower,West Kowloon Government Offices,11 Hoi Ting Road, Yau Ma Tei, Kowloon",22.31241862,114.16365548,ClinicsHealthCentresundertheDepartmentofHealth
Shek Kip Mei Chest Clinic (all services suspended),"Shek Kip Mei Health Centre, 2 Berwick Street, Kowloon",22.33101315,114.16729378,ClinicsHealthCentresundertheDepartmentofHealth
Education and Training Centre in Family Medicine,"2/F, Ngau Tau Kok Jockey Club Clinic, 60 Ting On Street, Ngau Tau Kok, Kowloon",22.31706524,114.21695934,ClinicsHealthCentresundertheDepartmentofHealth
Fanling Families Clinic,"8/F, Fanling Health Centre, 2 Pik Fung Road, Fanling",22.49621128,114.13885044,ClinicsHealthCentresundertheDepartmentofHealth
Chai Wan Families Clinic,"1/F, Main Block, Pamela Youde Nethersole Eastern Hospital, 3 Lok Man Road, Chai Wan",22.26932987,114.23638767,ClinicsHealthCentresundertheDepartmentofHealth
Hong Kong Families Clinic,"3/F, Tang Chi Ngong Specialist Clinic, 284 Queen's Road East, Wan Chai",22.27529393,114.17820167,ClinicsHealthCentresundertheDepartmentofHealth
Kowloon Families Clinic,"6/F, Kowloon City Health Centre 42 Bailey Street, Hung Hom",22.31188455,114.18959843,ClinicsHealthCentresundertheDepartmentofHealth
New Territories Families Clinic,"G/F, Maurine Grantham Health Centre, 115 Castle Peak Road, Tsuen Wan",22.37054633,114.11976082,ClinicsHealthCentresundertheDepartmentofHealth
Hong Kong Integrated Care Centre for Civil Service,"1/F, Central District Health Centre, 1 Kau U Fong, Central",22.28450894,114.1526204,ClinicsHealthCentresundertheDepartmentofHealth
