Name_EN,Address_EN,Latitude,Longitude,Facility_Type
Assemblies of God Medical Clinic,"No. 11-12, G/F, Suet Fung House, Fung Tak Estate, Diamond Hill, Kowloon",22.34469799,114.1998747,ClinicsregisteredunderCap343
Black Point Power Station Health Centre,"Black Point Power Station Health Centre, G/F, Administrative Building, Black Point Power Station, Yung Long Road, Lung Kwu Tan, Tuen Mun, New Territories",22.41322753,113.910776,ClinicsregisteredunderCap343
BOCHK Health Care Division,"Room 1460, Bank of China Tower, 1 Garden Road, Central, Hong Kong",22.2795501,114.1614814,ClinicsregisteredunderCap343
Castle Peak Power Station Health Centre,"Castle Peak Power Station Health Centre, G/F, CPB Control Block, Castle Peak Power Station, Lung Yiu Street, Tuen Mun, New Territories",22.37501945,113.9194888,ClinicsregisteredunderCap343
Centre of Wellness,"Unit Nos. 3 and 5, 21/F, Ocean Building, 80 Shanghai Street, Kowloon",22.3051675,114.1693728,ClinicsregisteredunderCap343
Chai Fat Clinic,"1/F, 33 Fung Tak Road, Wong Tai Sin, Kowloon",22.34364322,114.1967635,ClinicsregisteredunderCap343
Chee Kwong Free Clinic,"297 Pai Tau Village, Sha Tin, New Territories",22.38240952,114.1861518,ClinicsregisteredunderCap343
Christian Family Service Centre Medical Clinic,"Room A, G/F, 3 Tsui Ping Road, Kwun Tong, Kowloon",22.31192069,114.2290135,ClinicsregisteredunderCap343
Clinic of China Resources Company,"Clinic of China Resources Company, D/F, Causeway Centre, 28 Harbour Road, Wan Chai, Hong Kong",22.28053795,114.1763253,ClinicsregisteredunderCap343
Emmanuel Medical Mission,"Medical Room, 1/F, 40 Shing Tak Street, Kowloon City, Kowloon",22.3245696,114.1881165,ClinicsregisteredunderCap343
HAECO Medical Clinic (Chek Lap Kok),"HAECO Medical Clinic (Chek Lap Kok), 3/F, West Annex, Hangar 2, 80 South Perimeter Road, Hong Kong International Airport, Lantau, Hong Kong",22.30372648,113.8996568,ClinicsregisteredunderCap343
Haven of Hope King Lam Clinic,"Western Clinic, Shop No. 3, G/F, King Lui House, King Lam Estate, Tseung Kwan O, New Territories",22.31909749,114.2620134,ClinicsregisteredunderCap343
Haven of Hope S K Yee Hang Hau Clinic,"Western Clinic, G/F, 8 Pui Shing Lane, Tseung Kwan O, New Territories",22.31652719,114.2674293,ClinicsregisteredunderCap343
Haven of Hope S K Yee Hau Tak Clinic,"Western Clinic, Shop No. W017A, Ground Floor, West Wing of TKO Gateway, Hau Tak Estate, Sheung Ning Road, Tseung Kwan O, Sai Kung, New Territories, Hong Kong",22.31760721,114.2645829,ClinicsregisteredunderCap343
Haven of Hope S K Yee Po Lam Clinic,"Western Clinic, Unit 327-328, Po Ning House, Po Lam Estate, Tseung Kwan O, New Territories",22.32556382,114.2554465,ClinicsregisteredunderCap343
Haven of Hope Sau Mau Ping Clinic,"Western Clinic, Shop No. 314, Sau Mau Ping Shopping Centre, Sau Mau Ping Estate, Kowloon",22.31995471,114.2322982,ClinicsregisteredunderCap343
HKFTU Medical & Healthcare Centre (Central Clinic),"X-ray Laboratory & Western Medicine Clinic, Flat A, B & C, 3/F, Siu Ying Commercial Building, 151-155 Queen's Road Central, Hong Kong",22.28486739,114.1537081,ClinicsregisteredunderCap343
HKFTU Medical & Healthcare Centre (Wan Chai Clinic),"13/F, Kwan Chart Tower, 6 Tonnochy Road, Wan Chai, Hong Kong",22.27930012,114.1780978,ClinicsregisteredunderCap343
HKFTU Specialist Medical Centre,"11/F, Silver Commercial Building, 719 Nathan Road, Mongkok, Kowloon",22.32104622,114.1688507,ClinicsregisteredunderCap343
Holistic Wellness Medical Centre,"Unit 01B, 23/F, Crocodile Centre, 79 Hoi Yuen Road, Kwun Tong, Kowloon",22.31175723,114.2255827,ClinicsregisteredunderCap343
Hong Kong Breast Cancer Foundation Breast Health Centre,"21/F, Jupiter Tower, 9 Jupiter Street, North Point, Hong Kong",22.2863358,114.1923621,ClinicsregisteredunderCap343
Hong Kong Breast Cancer Foundation Breast Health Centre (Kowloon),"G/F & 1/F (Portion), 28 Lung Cheung Road, Kowloon",22.33708929,114.2071762,ClinicsregisteredunderCap343
Hong Kong Chiu Chow Merchants Mutual Assistance Society Clinic,"Flat C, 2/F, Gold Union Commercial Building, 70-72 Connaught Road West, Hong Kong",22.28843646,114.146737,ClinicsregisteredunderCap343
"Hong Kong Christian Service, Medical & Dental Clinic","Room 100, Room 105-108, Room 115-120, 1/F, 33 Granville Road, Tsim Sha Tsui, Kowloon",22.30038259,114.1743165,ClinicsregisteredunderCap343
Hong Kong Federation of Trade Unions Workers' Medical Clinics (Kwun Tong Branch),"Western Medicine Clinic, Shop B, G/F, Lai Yue Building, 3 Horse Shoe Lane, Kwun Tong, Kowloon",22.31462879,114.2220246,ClinicsregisteredunderCap343
Hong Kong Federation of Trade Unions Workers' Medical Clinics (Mongkok Branch),"Western Medicine Clinic, 1/F, Silver Commercial Building, 719 Nathan Road, Mongkok, Kowloon",22.32119141,114.1688271,ClinicsregisteredunderCap343
Hong Kong Federation of Trade Unions Workers' Medical Clinics (Tai Po Branch),"Western Medicine Clinic, 1/F, Po Hong Mansion, 70-78 Kwong Fuk Road, Tai Po, New Territories",22.44863815,114.1667293,ClinicsregisteredunderCap343
Hong Kong Federation of Trade Unions Workers' Medical Clinics (Tsuen Wan Branch),"Western Medicine Clinic, Unit A2, B1, B2 & D, G/F, Fou Wah Centre, 210 Castle Peak Road, Tsuen Wan, New Territories",22.3729527,114.1182303,ClinicsregisteredunderCap343
Hong Kong Federation of Trade Unions Workers' Medical Clinics (Tuen Mun Branch),"Western Medicine Clinic, Shop No. 63, G/F, Eldo Court, 132 Heung Sze Wui Road, Tuen Mun, New Territories",22.39829623,113.9755288,ClinicsregisteredunderCap343
Hong Kong Red Swastika Society Free Clinic,"Western Clinic, G/F, No. 25 Dragon Road, Causeway Bay, Hong Kong",22.28224023,114.1930204,ClinicsregisteredunderCap343
Hong Kong Sports Institute Clinic,"Hong Kong Sports Institute Clinic, Level 2, New Facilities Building, Hong Kong Sports Institute, 25 Yuen Wo Road, Sha Tin, New Territories",22.39278038,114.1998512,ClinicsregisteredunderCap343
Hong Kong Workers' Health Centre,"Room 1429 - 1437, 14/F, Beverley Commercial Centre, 87-105 Chatham Road South, Tsim Sha Tsui, Kowloon",22.30144529,114.1759917,ClinicsregisteredunderCap343
Kiangsu Chekiang and Shanghai Medical Centre,"Room 1-7, 1/F, Max Share Centre, 367-373 King's Road, North Point, Hong Kong",22.29110375,114.1979186,ClinicsregisteredunderCap343
