Name_EN,Address_EN,Latitude,Longitude,Facility_Type
Day Care Unit at Cheung Muk Tau Holiday Centre for the Elderly,"Nin Wah Road, Cheung Muk Tau North, Sai Kung, N.T.",22.43243519,114.25011076,DayCareCentresfortheElderly
Caritas Day Care Centre for the Elderly – West Kowloon (Sub-base),"5-10, G/F, Nam Yiu House, Nam Shan Estate, Sham Shui Po, Kowloon",22.33412857,114.1706813,DayCareCentresfortheElderly
Chung Shak Hei (Cheung Chau) Home for the Aged Limited Day Care Centre for the Elderly,"G/F., Wan Ho Kan Care and Attention Home, No. 9 Wo Shun Lane, Pak She, Cheung Chau, Hong Kong.",22.21252331,114.02700864,DayCareCentresfortheElderly
Anita Mui Day Care Centre for the Elderly,"G/F, 39 Bridges Street, Sheung Wan, Hong Kong.",22.28374256,114.14985332,DayCareCentresfortheElderly
Ageing Well Day Care Centre for the Elderly,"12 Belcher's Street, Kennedy Town, Hong Kong.",22.28531478,114.13247921,DayCareCentresfortheElderly
Central and Western District Day Care Centre for the Elderly,"1/F., Podium Level, 29 Ka Wai Man Road, Kennedy Town, Hong Kong.",22.28173848,114.12491706,DayCareCentresfortheElderly
Tai Po Integrated Service for Senior Citizens - Day Care Centre for Senior Citizens,"G/F., Heng Yiu House, Fu Heng Estate, Tai Po, N.T.",22.46088728,114.17215657,DayCareCentresfortheElderly
Baptist Oi Kwan Social Service (BOKSS) Tai Po Day Care Centre for the Elderly,"G/F, Social Service Building, Fu Tip Estate, 11 Chung Nga Road, Tai Po, New Territories",22.46143169,114.17258971,DayCareCentresfortheElderly
Caritas Li Ka Shing Care and Attention Home cum Day Care Centre for the Elderly,"16 Wah Fat Street, Tuen Mun, New Territories",22.38508971,113.98246404,DayCareCentresfortheElderly
Haven of Hope Ho Chung Elderly Home cum Day Care Centre for the Elderly,"G/F (portion), 1/F (portion), 2/F (portion) and 3/F (portion), Ho Chung Welfare Facilities Block, No. 168 Hiram's Highway, Ho Chung, Sai Kung, New Territories.",22.3532881,114.25091429,DayCareCentresfortheElderly
Hong Kong Children and Youth Services Jubilant Day Care Centre for the Elderly,"3/F, Yan On Shopping Centre (Phase 2), 3 Hang Chi Street, Ma On Shan, Sha Tin",22.41377273,114.22491665,DayCareCentresfortheElderly
St. James' Settlement EverShine Day Care Centre for the Elderly,"G/F, Treasury Building, 3 Tonkin Street West, Cheung Sha Wan, Kowloon",22.33015369,114.15446156,DayCareCentresfortheElderly
Yan Oi Tong Ng Wai Kwong Memorial Day Care Centre for the Elderly,"G/F, Wo Choi House, Wo Tin Estate, Hing Kwai Street, Tuen Mun, N.T.",22.41564087,113.96865231,DayCareCentresfortheElderly
Hong Kong Young Women's Christian Association Helen Lee Day Care Centre for the Elderly,"LG/F, Wong Yet House, Queens Hill Estate, 68 Lung Ma Road, Fanling, New Territories",22.50291616,114.15540575,DayCareCentresfortheElderly
EverDelight Day Care Centre for the Elderly (Eastern & Wan Chai) (Sub-base),"2/F & 7 F, 100 Kennedy Road, Wan Chai, Hong Kong",22.27237391,114.17342913,DayCareCentresfortheElderly
Wah Kwai Day Care Centre for the Elderly (Sub-base),"Unit 433-434, G/F, Wah Mei House, Wah Fu (I) Estate, Aberdeen, Hong Kong.",22.2495793,114.13685997,DayCareCentresfortheElderly
Koo Bin Kau Lee Day Care Centre for the Elderly,"G/F., Kwai Yuet House & Kwai Hin House, Lower Ngau Tau Kok Estate, Kwun Tong, Kowloon",22.32217771,114.21593426,DayCareCentresfortheElderly
Choy Yue-fai Day Care Centre for the Elderly,"G/F, Unit 118-123 On Hoi House, Cheung On Estate, Tsing Yi, N.T.",22.36181325,114.10039956,DayCareCentresfortheElderly
Chuk Yuen Day Care Centre for Senior Citizens,"Units 141-150, Podium Level, Chui Yuen House, Chuk Yuen (South) Estate, Kowloon.",22.34409576,114.194144,DayCareCentresfortheElderly
Caritas Day Care Centre for the Elderly - North District,"Unit No. 6, G/F, Po Shek Wu Estate Ancillary Facilities Block, 23 Choi Yuen Road, Sheung Shui, New Territories",22.50269258,114.12555962,DayCareCentresfortheElderly
Tin Ka Ping Day Care Centre for the Elderly,"G/F, Block 3, 12 Tung Kun Street, Prosperous Garden, Yau Ma Tei, Kowloon.",22.3107934,114.16794541,DayCareCentresfortheElderly
Mongkok Integrated Service for Senior Citizens Hoi Yu Day Care Centre for Senior Citizens,"G/F., Hoi Lam House, Hoi Fu Court, No. 2 Hoi Ting Road, Mong Kok, Kowloon.",22.31676238,114.16425683,DayCareCentresfortheElderly
