Name_EN,Address_EN,Latitude,Longitude,Facility_Type
Tuen Mun Hospital,"23 Tsing Chung Koon Road, Tuen Mun, NT",22.40708,113.97621,HospitalAuthorityHospitalInstitutionList
Kwong Wah Hospital,"25 Waterloo Road, KLN",22.31429,114.1721,HospitalAuthorityHospitalInstitutionList
Princess Margaret Hospital,"2-10 Princess Margaret Hospital Road, Lai Chi Kok, Kowloon",22.340057,114.1347,HospitalAuthorityHospitalInstitutionList
Kwai Chung Hospital,"3-15 Kwai Chung Hospital Road, NT",22.342892,114.13336,HospitalAuthorityHospitalInstitutionList
Haven of Hope Hospital,"8 Haven of Hope Road, Tseung Kwan O",22.313773,114.25627,HospitalAuthorityHospitalInstitutionList
Wong Chuk Hang Hospital,"2 Wong Chuk Hang Path, Wong Chuk Hang, HK",22.250966,114.17591,HospitalAuthorityHospitalInstitutionList
Tung Wah Hospital,"12 Po Yan Street, Sheung Wan, HK",22.284955,114.14661,HospitalAuthorityHospitalInstitutionList
United Christian Hospital,"130 Hip Wo Street, Kwun Tong, KLN",22.322291,114.2279,HospitalAuthorityHospitalInstitutionList
Yan Chai Hospital,"7-11 Yan Chai Street, Tsuen Wan, NT",22.369548,114.11956,HospitalAuthorityHospitalInstitutionList
Tung Wah Eastern Hospital,"19 Eastern Hospital Road, Causeway Bay, HK",22.274725,114.19026,HospitalAuthorityHospitalInstitutionList
Tung Wah Group of Hospitals Fung Yiu King Hospital,"9 Sandy Bay Road, Pokfulam, HK",22.271408,114.12483,HospitalAuthorityHospitalInstitutionList
Tung Wah Group of Hospitals Wong Tai Sin Hospital,"124 Shatin Pass Road, Wong Tai Sin, KLN",22.346808,114.19632,HospitalAuthorityHospitalInstitutionList
Tseung Kwan O Hospital,"No. 2 Po Ning Lane, Hang Hau, Tseung Kwan O",22.317964,114.27021,HospitalAuthorityHospitalInstitutionList
Tsan Yuk Hospital,"30 Hospital Road, Sai Ying Pun, HK",22.286146,114.14457,HospitalAuthorityHospitalInstitutionList
The Duchess of Kent Children's Hospital at Sandy Bay,"12 Sandy Bay Road, Pokfulam, HK",22.271574,114.12424,HospitalAuthorityHospitalInstitutionList
Tai Po Hospital,"9 Chuen On Road, Tai Po, NT",22.46143,114.17464,HospitalAuthorityHospitalInstitutionList
Tin Shui Wai Hospital,"11 Tin Tan Street, Tin Shui Wai, NT",22.458704,113.99585,HospitalAuthorityHospitalInstitutionList
Tang Shiu Kin Hospital,"282 Queen's Road East, Wan Chai, HK",22.275313,114.17774,HospitalAuthorityHospitalInstitutionList
St. John Hospital,"Cheung Chau Hospital Road, Tung Wan, Cheung Chau",22.208059,114.03151,HospitalAuthorityHospitalInstitutionList
Queen Elizabeth Hospital,"30 Gascoigne Road, KLN",22.30886,114.17519,HospitalAuthorityHospitalInstitutionList
Ruttonjee Hospital,"266 Queen's Road East, Wan Chai, HK",22.275909,114.17529,HospitalAuthorityHospitalInstitutionList
