Name_EN,Address_EN,Latitude,Longitude,Facility_Type
SURE ON ELDERS HOME COMPANY LIMITED,"1/F AND PORTION OF G/F, WAH SHING BUILDING, 17-23 CASTLE PEAK ROAD, SHAM SHUI PO, KOWLOON",22.33313473,114.16288669,LocationofResidentialCareHomesfortheElderlyinHongKong
THE SISTERS OF THE IMMACULATE HEART OF MARY PAK TIN ELDERLY HOME (HONG TIN),"LOWER GROUND LEVEL 2, HONG TIN HOUSE, PAK TIN ESTATE, KOWLOON",22.33648526,114.16524519,LocationofResidentialCareHomesfortheElderlyinHongKong
FRIENDS OF PEACE ELDERLY HOME LIMITED,"G/F, 39-41 CHEUNG SHA WAN ROAD AND 1/F TO 3/F, HUNG WAN BUILDING, 31-41 CHEUNG SHA WAN ROAD, KOWLOON",22.32727414,114.16638162,LocationofResidentialCareHomesfortheElderlyinHongKong
GO ALONG WITH YOUR HERAT ELDERLY HOME,"SHOP 3 ON G/F & 1/F, GOOD YEAR COURT, NO. 55-61 SHUN NING ROAD, KOWLOON",22.33618678,114.15989659,LocationofResidentialCareHomesfortheElderlyinHongKong
KA LAM GEROCOMY LIMITED,"G/F (PORTION) - 3/F, EASEY BUILDING, 512-518 FUK WING STREET, CHEUNG SHA WAN, KOWLOON",22.33907581,114.15383887,LocationofResidentialCareHomesfortheElderlyinHongKong
WAN LUEN HOME FOR ELDERLY (YEN CHOW STREET),"SHOP NO. 1 AND SHOP NO. 3 (FRONT PORTION) OF G/F, AND 1/F, CHEONG YUEN BUILDING, 1-9 YEN CHOW STREET, KOWLOON",22.32866409,114.15793676,LocationofResidentialCareHomesfortheElderlyinHongKong
ANGEL'S HEALTH CARE,"1/F, KIU CHAU BUILDING, 6-8 KIU KIANG STREET, KOWLOON",22.32905231,114.15717959,LocationofResidentialCareHomesfortheElderlyinHongKong
YAU YAT CHUEN HOME FOR THE ELDERLY LIMITED,"BLOCK A, G/F, 30 TAT CHEE AVENUE, YAU YAT CHUEN, KOWLOON",22.33201553,114.17560276,LocationofResidentialCareHomesfortheElderlyinHongKong
MEDIPOINT (MOS) HOME FOR THE AGED,"SHOP NOS. 401A, 401B, 401D, 403 AND 404, 4/F, HENG ON SHOPPING CENTRE, HENG ON ESTATE, SHA TIN, NEW TERRITORIES",22.41687513,114.22780704,LocationofResidentialCareHomesfortheElderlyinHongKong
CHRYSANTHEMUM ELDERLY CENTRE LIMITED,"SHOP G ON G/F, WHOLE OF 1/F AND 2/F, HIP FOOK BUILDING, 63-71 TAI PO ROAD, KOWLOON",22.33175318,114.16452728,LocationofResidentialCareHomesfortheElderlyinHongKong
CARE & SERVICES ELDERLY HOME (TAI KOK TSUI),"1/F - 3/F, KIN FOOK MANSION, 2K, BOUNDARY STREET, KOWLOON",22.32608173,114.16161585,LocationofResidentialCareHomesfortheElderlyinHongKong
GOODWISE GEROCOMY CENTRE,"SHOP NO. 4 ON G/F, THE WHOLE OF 1/F & 2/F, SUN MING COURT, 84-90, CASTLE PEAK ROAD, SHAMSHUIPO, KOWLOON",22.33481427,114.16131398,LocationofResidentialCareHomesfortheElderlyinHongKong
MAN FOOK AGED HOME,"LOT 1004 IN DD 180 (ALSO KNOWN AS NO. 1, TAI WAI NEW VILLAGE), SHA TIN, NEW TERRITORIES",22.37342062,114.17464114,LocationofResidentialCareHomesfortheElderlyinHongKong
YAN CHAI HOSPITAL LEE WAI SIU KEE ELDERLY HOME,"G/F (PART) TO 2/F AND DUMBER-WAITER ROOM AT 3/F, UN KIN HOUSE, UN CHAU ESTATE, 303 UN CHAU STREET, SHAM SHUI PO, KOWLOON",22.33708948,114.15677076,LocationofResidentialCareHomesfortheElderlyinHongKong
