Name_EN,Address_EN,Latitude,Longitude,Facility_Type
PACIFIC CLINIC (YAT TUNG),"SHOP 206, 2/F, YAT TUNG SHOPPING CENTRE, YAT TUNG ESTATE, 8 YAT TUNG STREET, ISLANDS DISTRICT, NEW TERRITORIES",22.2819132,113.934782,PrivatehealthcarefacilitiesunderCap633
SURE CARE MEDICAL CENTRE (CAUSEWAY BAY),"ROOM 1116-1117, 11/F, EAST POINT CENTRE (OLD WING), 555 HENNESSY ROAD, WAN CHAI DISTRICT, HONG KONG",22.2804057,114.184318,PrivatehealthcarefacilitiesunderCap633
DR TERI YUNG DENTAL CLINIC CO LTD,"UNIT 1001, 10/F, WINWAY BUILDING, 50 WELLINGTON STREET, CENTRAL & WESTERN DISTRICT, HONG KONG",22.28167,114.15546,PrivatehealthcarefacilitiesunderCap633
DR. MIKE CHEUNG DENTAL CLINIC,"5/F, LONGFIELD CENTRE, 129-131 CASTLE PEAK ROAD YUEN LONG, YUEN LONG DISTRICT, NEW TERRITORIES",22.44472,114.0279,PrivatehealthcarefacilitiesunderCap633
REMEDIUM ORTHOPAEDIC CENTRE PRUDENS PHYSIOTHERAPY CENTRE,"ROOM 504-505, 5/F, KWONG WAH PLAZA, 11 TAI TONG ROAD, YUEN LONG DISTRICT, NEW TERRITORIES",22.4439478,114.029332,PrivatehealthcarefacilitiesunderCap633
DR. CHECK DENTAL CLINIC CENTRE,"SHOP 1A, G/F, FU NING GARDEN COMMERCIAL COMPLEX, 25 PO NING ROAD, HANG HAU, NEW TERRITORIES",22.31879,114.26766,PrivatehealthcarefacilitiesunderCap633
COMMUNITY DENTAL CLINIC,"G/F, 45 FUK TSUN STREET, TAI KOK TSUI, KOWLOON",22.32152,114.16358,PrivatehealthcarefacilitiesunderCap633
ABLE BODY CHECK AND DIAGNOSTIC CENTRE,"ROOM B, 11/F, MCDONALD'S BUILDING, 46-54 YEE WO STREET, WAN CHAI DISTRICT, HONG KONG",22.2795438,114.185902,PrivatehealthcarefacilitiesunderCap633
LOGOS MEDICAL & DIAGNOSTICS,"ROOM 1004, 10/F, CHAMPION BUILDING, 301-309 NATHAN ROAD, YAU TSIM MONG DISTRICT, KOWLOON",22.305591,114.171369,PrivatehealthcarefacilitiesunderCap633
ACE EYE CENTRE,"ROOM 1410B, 14/F, CHAMPION BUILDING, 301-309 NATHAN ROAD, YAU TSIM MONG DISTRICT, KOWLOON",22.3055915,114.17137,PrivatehealthcarefacilitiesunderCap633
DENSBEAUTY,"ROOM C, 11/F, HANG SENG CAUSEWAY BAY BUILDING, 28 YEE WO STREET, WAN CHAI DISTRICT, HONG KONG",22.27965,114.18543,PrivatehealthcarefacilitiesunderCap633
POK OI HOSPITAL DR. LEUNG ON MEI MEMORIAL DENTAL CLINIC,"SHOP 15-16, G/F, BIK SHUI HOUSE, SHUI PIN WAI ESTATE, 17 MA MIU ROAD, YUEN LONG DISTRICT, NEW TERRITORIES",22.44507,114.01984,PrivatehealthcarefacilitiesunderCap633
WAY MAKER HEALTHCARE CENTRE,"UNIT 1206, 12/F, HK PACIFIC CENTRE, 28 HANKOW ROAD, YAU TSIM MONG DISTRICT, KOWLOON",22.2971213,114.171277,PrivatehealthcarefacilitiesunderCap633
YWCA WK LEE INTEGRATED HEALTH CENTRE,"UNIT 904, 9/F, SPOT, 48 LUNG SUM AVENUE, NORTH DISTRICT, NEW TERRITORIES",22.5031271,114.127928,PrivatehealthcarefacilitiesunderCap633
Asia Clinic,"27/F, 26 NATHAN ROAD, YAU TSIM MONG DISTRICT, KOWLOON",22.29587,114.17263,PrivatehealthcarefacilitiesunderCap633
Hong Kong Dermatology and Laser Centre,"ROOM 903, 9/F & 11/F, SILVER FORTUNE PLAZA, 1 WELLINGTON STREET, CENTRAL & WESTERN DISTRICT, HONG KONG",22.281097,114.15618,PrivatehealthcarefacilitiesunderCap633
Dr. Martin Wong & Associates,"ROOM 1204-1206, 12/F, HANG SHING BUILDING, 363 NATHAN ROAD, YAU TSIM MONG DISTRICT, KOWLOON",22.308024,114.17101,PrivatehealthcarefacilitiesunderCap633
Central Consultative Clinic,"ROOM A, 7/F, BANGKOK BANK BUILDING, 28 DES VOEUX ROAD CENTRAL, CENTRAL & WESTERN DISTRICT, HONG KONG",22.282929,114.15688,PrivatehealthcarefacilitiesunderCap633
Clinic of Dr. Lee Siu Hong and Dr. Lee Kun Min,"ROOM 811-812, 8/F, ARGYLE CENTRE PHASE 1, 688 NATHAN ROAD, YAU TSIM MONG DISTRICT, KOWLOON",22.319861,114.16978,PrivatehealthcarefacilitiesunderCap633
Best View Medical & Endoscopy Centre,"ROOM 1902, 19/F, EURO TRADE CENTRE, 21-23 DES VOEUX ROAD CENTRAL, CENTRAL & WESTERN DISTRICT, HONG KONG",22.282856,114.15756,PrivatehealthcarefacilitiesunderCap633
Fresenius Kidney Care Dialysis Center (Wan Chai),"20/F, SUNSHINE PLAZA, 353 LOCKHART ROAD, WAN CHAI DISTRICT, HONG KONG",22.2795648,114.178888,PrivatehealthcarefacilitiesunderCap633
Fresenius Kidney Care Dialysis Center (Tuen Mun),"1/F, TUEN MUN EYE CENTER, 4 TUEN LEE STREET, TUEN MUN DISTRICT, NEW TERRITORIES",22.3908674,113.978972,PrivatehealthcarefacilitiesunderCap633
Power of Love Centaline Charity Fund Dialysis Centre Limited," 1/F, SUCCESS COMMERCIAL BUILDING, 245-251 HENNESSY ROAD, WAN CHAI DISTRICT, HONG KONG",22.2781905,114.176211,PrivatehealthcarefacilitiesunderCap633
GL Plastic Surgery & Head and Neck Surgery Centre,"ROOM 1421, 14/F, CENTRAL BUILDING, 1-3 PEDDER STREET, CENTRAL & WESTERN DISTRICT, HONG KONG",22.281378,114.15737,PrivatehealthcarefacilitiesunderCap633
V-Zone Cataract Surgery Centre,"ROOM 1307, 13/F, WING ON KOWLOON CENTRE, 345 NATHAN ROAD, YAU TSIM MONG DISTRICT, KOWLOON",22.307592,114.171,PrivatehealthcarefacilitiesunderCap633
Yan Chai Hospital Lobo Law Foundation Renal Dialysis Centre,"SHOP 131B, 131C & 131D, G/F, PODIUM A, RIVIERA GARDENS, 1-7 YI HONG STREET, TSUEN WAN DISTRICT, NEW TERRITORIES",22.3629741,114.1137137,PrivatehealthcarefacilitiesunderCap633
Lock Tao Nursing Home,"G-2/F, 83 PRINCESS MARGARET ROAD, KOWLOON CITY DISTRICT, KOWLOON",22.3167696,114.178589,PrivatehealthcarefacilitiesunderCap633
"Clinic of Dr. Tsang Hin Ling Abby, Dr. Ng Kwok Hang Connie, Dr. Leung Chau Mau and Dr. Chan Leung Cho","ROOM 1216-1219, 12/F, ARGYLE CENTRE PHASE 1, 688 NATHAN ROAD, YAU TSIM MONG DISTRICT, KOWLOON",22.319858,114.1697,PrivatehealthcarefacilitiesunderCap633
